h3,lat,lon,area,CIS,CIS_adj,hidden_uplift_%,enf_days,police_station
8961892ea0fffff,13.01790116236127,77.63500717739375,Ramaiah Layout,2.23,3.24,45.0,2,Banaswadi
8960145962bffff,13.056610592290145,77.55860961399105,Jayalakshmamma Layout,2.23,3.24,45.0,2,Jalahalli
8960169746fffff,13.145153891553287,77.61608409000438,Hunasamaranahalli,2.23,3.17,42.0,2,Chikkajala
89618925aabffff,12.959213758917373,77.60331275293267,Nanjappa Circle,2.23,3.17,42.0,2,Ashok Nagar
8961892ec73ffff,12.983645924564618,77.64767349928279,Duo Harmony,2.23,3.17,42.0,2,Jeevanbheemanagar
89618925813ffff,12.938897862209586,77.60477589509074,Dairy Colony,2.23,3.17,42.0,2,Adugodi
89618924b27ffff,12.902776953432564,77.54401352338395,Mookambika Layout,2.23,3.24,45.0,2,K.S. Layout
8960169047bffff,13.19622145661239,77.71096960111988,Kempegowda International Airport Devanahalli,2.23,3.17,42.0,2,Devanahalli Airport
89618924b57ffff,12.908065876570664,77.55913642543926,Chikkagowdanapalya,2.23,3.17,42.0,2,K.S. Layout
89601690c73ffff,13.193163041249875,77.65123822008464,Sadahalli Gate Junction,2.23,3.24,45.0,2,Chikkajala
896016900abffff,13.198408878882784,77.69171248805807,Bavapura,2.23,3.24,45.0,2,Devanahalli Airport
89601453343ffff,12.859014700595626,77.52945760502502,SV Luxuria,2.23,3.24,45.0,2,Thalagattapura
89618924243ffff,12.918452318440698,77.63994311677249,Mantri Sarovar,2.23,3.17,42.0,2,HSR Layout
8960145a567ffff,12.925261553525052,77.53175983281128,Bangarappa Nagara,2.23,3.24,45.0,2,Kengeri
8961892ce8fffff,13.047858684380586,77.62708449701066,Kempanna Layout,2.21,3.38,53.0,1,Hennuru
8961892d873ffff,13.10342573691855,77.63284419662327,Brigade Northridge,2.21,3.38,53.0,1,Hennuru
89618924a27ffff,12.910181443008213,77.56518645328696,Kumaraswamy Layout,2.21,3.38,53.0,1,K.S. Layout
8961892416bffff,12.891853722854627,77.60639013634986,Sobha Aster Apartment,2.21,3.38,53.0,1,Mico Layout
8961892e663ffff,13.008020903083816,77.70893497036998,Manjunatha Layout,2.21,3.38,53.0,1,K.R. Pura
8960169011bffff,13.196306873140022,77.67720815563497,Yerthiganahalli,2.21,3.38,53.0,1,Devanahalli Airport
8961892528bffff,12.958968175683598,77.67074064561463,HAL Circle,2.21,3.38,53.0,1,HAL Old Airport
896189248c3ffff,12.888746864723524,77.58046715945375,Willson Garden Housing Cooperative Society,2.21,3.38,53.0,1,J.P. Nagar
89618925d3bffff,12.919701469073544,77.59241770726548,Putlanpalya,2.21,3.38,53.0,1,Jayanagara
89618925d73ffff,12.923963755247273,77.59609964711171,NAL Layout,2.21,3.38,53.0,1,Jayanagara
8961892e32bffff,13.011376544784946,77.66741894623222,Krishna Reddy Layout,2.21,3.38,53.0,1,Banaswadi
8961892711bffff,12.881964623740215,77.67183485884938,Sri Venkateshwara Layout,2.15,3.29,53.0,1,Electronic City
8960145903bffff,13.047046659456914,77.53979896515949,Brigade Courtyard,2.15,3.29,53.0,1,Jalahalli
8961892ca2bffff,13.07145152726484,77.6009903678239,Sobha Windfall,2.15,3.29,53.0,1,Hebbala
8961892cb5bffff,13.069331405075593,77.59493448771131,Vista Pixel,2.15,3.29,53.0,1,Hebbala
8961892dbb3ffff,13.103472652974817,77.61598170514691,Kogilu Junction,2.15,3.29,53.0,1,Yelahanka
8961892cbafffff,13.05547881884335,77.58085719789388,Kodigehalli,2.15,3.29,53.0,1,Kodigehalli
8960145b24bffff,13.026616504314664,77.5833820116957,D Type Quarters,2.15,3.29,53.0,1,Kodigehalli
8961892e03bffff,12.994199891523364,77.6864028622736,Mahadevapura,2.15,3.29,53.0,1,Mahadevapura
8961892543bffff,12.926879017297711,77.67260178206016,Sobha Mayflower Apartment,2.15,3.29,53.0,1,Bellandur
89618925cc7ffff,12.92492708617329,77.62440164557077,CPWD Complex,2.15,3.29,53.0,1,Adugodi
8960145938bffff,13.056679963282626,77.53334199590239,Shetty Halli,2.15,3.29,53.0,1,Jalahalli
89601451e2fffff,12.898778566655169,77.46460790512103,Eternity Aspire,2.15,3.29,53.0,1,Kengeri
89601458243ffff,13.023586860810726,77.5237701411305,Kempamma Badavane,2.15,3.29,53.0,1,Rajajinagar
8961892601bffff,12.83708501813906,77.66264019910449,,2.15,3.29,53.0,1,Electronic City
89601459313ffff,13.058823065673288,77.53097143172724,Kammagondanahalli,2.15,3.29,53.0,1,Jalahalli
89618925933ffff,12.9315219559444,77.5751683209068,Yediyur Circle,2.15,3.29,53.0,1,Banashankari
8961892edabffff,12.966622021398987,77.62450511986694,Nanavali Dargah,2.15,3.29,53.0,1,Halasur
89618925a9bffff,12.95703754392926,77.61410984634838,Austin Town,2.15,3.29,53.0,1,Ashok Nagar
89601453357ffff,12.855811157164966,77.52880330141164,,2.15,3.29,53.0,1,No Police Station
89618924903ffff,12.881377026374155,77.55087307866201,Thippasandra,2.15,3.29,53.0,1,Thalagattapura
