h3,slope,base,pct_per_month,area,lat,lon,CIS,police_station,n_parking,trend
89618924b1bffff,-1.4285714285714284,2.3333333333333335,-61.2,Govinayakanahalli,12.904861924373707,77.5584814900284,7.53,K.S. Layout,7,Improving
896014584d3ffff,-2.642857142857143,4.333333333333333,-61.0,CPWD Complex,12.976518509289205,77.5422341051928,13.97,Vijayanagara,13,Improving
89618925d9bffff,-28.428571428571413,46.666666666666664,-60.9,MICO Layout,12.912171654607906,77.60492729734868,42.1,Mico Layout,213,Improving
89618925897ffff,-49.7,81.75,-60.8,Bharthi Layout,12.930341874842888,77.60583531147711,52.06,Mico Layout,374,Improving
896016966b3ffff,-4.100000000000001,6.75,-60.7,Yelahanka Circle,13.09604937814309,77.59478215833411,24.18,Yelahanka,42,Improving
8961892e38fffff,-1.0000000000000004,1.6666666666666667,-60.0,Kotturu,13.002788904473968,77.67691066477606,8.18,K.R. Pura,7,Improving
89618924c83ffff,-1.0000000000000004,1.6666666666666667,-60.0,Kalena Agrahara,12.866250072999598,77.59272256742267,6.38,Hulimavu,5,Improving
8961892c387ffff,-1.0000000000000004,1.6666666666666667,-60.0,Basavanna Layout,13.052070372487991,77.64763235685285,5.25,Hennuru,5,Improving
89601690467ffff,-1.0000000000000004,1.6666666666666667,-60.0,Arisinakunte,13.194098805361145,77.70490304435285,7.46,Devanahalli Airport,6,Improving
8961892ec83ffff,-2.0,3.3333333333333335,-60.0,Annayappa Colony,12.970794492951716,77.65347689647938,10.76,Jeevanbheemanagar,10,Improving
89618925a47ffff,-50.1,84.25,-59.5,St Patricks Complex,12.969885988228674,77.60830762943112,49.34,Ashok Nagar,383,Improving
89618925a67ffff,-5.6,9.5,-58.9,Shanthala Nagar,12.969915110017697,77.59988195791323,27.3,Cubbon Park,57,Improving
8961892e12bffff,-4.500000000000001,7.666666666666667,-58.7,Government Quarters,12.988938169704404,77.6628197822572,17.66,Banaswadi,23,Improving
896014585b7ffff,-1.9,3.25,-58.5,Kengunte Circle,12.960608211716808,77.50528979153641,17.13,Jnanabharathi,20,Improving
8961892588fffff,-4.071428571428569,7.0,-58.2,CC Layout,12.935693237533405,77.60412008308485,20.92,Mico Layout,34,Improving
8960145953bffff,-1.7142857142857137,3.0,-57.1,Arge Urban Bloom,13.024622463427407,77.53521514352859,9.49,Yeshwanthpura,9,Improving
8960145a393ffff,-8.1,14.25,-56.8,Deepanjali Nagar,12.946627752203263,77.53331738435476,34.41,Byatarayanapura,76,Improving
8960145b317ffff,-1.5000000000000007,2.6666666666666665,-56.3,Block A,13.005325471274679,77.55654969906209,8.07,Malleshwaram,8,Improving
89618924a8fffff,-2.9999999999999987,5.333333333333333,-56.2,Sarakki Extension,12.905857551930492,77.57834776261157,13.87,J.P. Nagar,16,Improving
8961892ec87ffff,-9.099999999999998,16.25,-56.0,Indian Airlines Staff Quarters,12.96973627091001,77.65044792008068,36.43,Jeevanbheemanagar,104,Improving
8961892460fffff,-1.3999999999999992,2.5,-56.0,Haralukunte Village,12.898096583867435,77.64983188407598,10.88,HSR Layout,12,Improving
89618925c37ffff,-5.6,10.0,-56.0,Tavarekere,12.922843399296683,77.60992155800207,32.87,Mico Layout,61,Improving
8960145b1c3ffff,-21.642857142857128,39.0,-55.5,Prakash Nagar,12.98607598654856,77.56104103815645,38.89,Rajajinagar,122,Improving
89618924653ffff,-4.3,7.75,-55.5,Madduramma Junction,12.901267959251003,77.65891700347152,22.67,Bellandur,34,Improving
8961892f557ffff,-6.499999999999999,11.75,-55.3,Kodandaram,13.0272278074568,77.7213201097713,27.29,K.R. Pura,50,Improving
89601458483ffff,-20.78571428571428,38.0,-54.7,Police Quarters,12.97119712613916,77.53552982919537,36.83,Vijayanagara,125,Improving
8960145b41bffff,-18.599999999999994,34.0,-54.7,Police Thimmaiah Circle,12.979557132736556,77.59342411757864,44.6,Cubbon Park,213,Improving
896189266c3ffff,-2.000000000000001,3.6666666666666665,-54.5,Inspira Tropical Garden,12.8433839931096,77.68924067616467,11.56,Electronic City,11,Improving
89601458597ffff,-15.499999999999996,28.75,-53.9,BDA Layout,12.960581702779866,77.5137062428752,43.69,Jnanabharathi,150,Improving
896189259a3ffff,-2.142857142857143,4.0,-53.6,Jayanagar,12.926171579055959,77.57688347032665,11.75,Jayanagara,15,Improving
8960145841bffff,-1.428571428571428,2.6666666666666665,-53.6,Selvam Industrial Estate,12.979748662660024,77.53446915954552,8.9,Vijayanagara,8,Improving
