h3,lat,lon,area,police_station,growth_x,delta_per_day,base_rate,rec_rate,rec_n,CIS,top_violation
8960145a353ffff,12.961586618406587,77.53356593494294,Attiguppe Circle,Vijayanagara,9.66,0.412,0.027522935779816515,0.43902439024390244,18.0,17.63,WRONG PARKING
89618921957ffff,12.989746463056846,77.7333312251394,Sadaramangala Industrial Area,Mahadevapura,9.56,0.564,0.045871559633027525,0.6097560975609756,25.0,18.89,WRONG PARKING
8961892e287ffff,13.006992956226615,77.69746766456792,Nanjamma Layout,K.R. Pura,9.24,2.432,0.27522935779816515,2.707317073170732,111.0,41.24,PARKING IN A MAIN ROAD
89618924ccbffff,12.876920765226062,77.59771497671579,Royal Meenakshi Mall,Hulimavu,8.82,3.889,0.47706422018348627,4.365853658536586,179.0,42.17,WRONG PARKING
896189218a3ffff,12.98541645373974,77.74651839120118,Gulmohar,Whitefield,8.0,1.746,0.22935779816513763,1.975609756097561,81.0,40.26,PARKING IN A MAIN ROAD
896014594d7ffff,13.02772704957693,77.56955947468921,MS Ramaiah Hospital Junction,Sadashivanagar,7.76,1.313,0.1743119266055046,1.4878048780487805,61.0,31.22,NO PARKING
89601459697ffff,13.042687153942886,77.56980995295861,HIG Colony,Kodigehalli,7.52,0.25,0.01834862385321101,0.2682926829268293,11.0,11.88,NO PARKING
896014583cfffff,13.010822318535666,77.50431578217236,Peenya,Peenya,7.37,0.186,0.009174311926605505,0.1951219512195122,8.0,9.3,WRONG PARKING
8961892532bffff,12.959093158251644,77.63702033959996,Domlur Layout,Halasur,7.37,0.186,0.009174311926605505,0.1951219512195122,8.0,10.99,NO PARKING
89618925ca7ffff,12.91749159579667,77.61163672595205,BTM Circle,Mico Layout,7.37,0.186,0.009174311926605505,0.1951219512195122,8.0,10.63,WRONG PARKING
8961892cdabffff,13.019096268372735,77.59589489285925,RT Nagar,R.T. Nagar,7.37,0.186,0.009174311926605505,0.1951219512195122,8.0,7.91,NO PARKING
89618924aa3ffff,12.903742264817788,77.57229683267205,Adarsh Nivas,J.P. Nagar,7.09,0.29,0.027522935779816515,0.3170731707317073,13.0,12.64,NO PARKING
