lat,lon,kind,name
12.975059,77.5716909,Bus station,KSRTC Bus Terminal 3
13.0363195,77.5664043,Bus station,Chikkamaranahalli
12.973548,77.5516898,Mall,GT World Mall
12.9543449,77.6226955,Bus station,Viveknagar Bus Station
13.0449062,77.5256683,Bus station,Basaveshwara Bus Station
12.8030789,77.7053521,Market,Chandrapura Market
12.9640502,77.5781641,Market,
12.9668909,77.6826461,Bus station,Basavanagar Bus Stand
12.9229515,77.6237459,Market,Madiwala Market
12.9995594,77.6201666,Market,
13.0246252,77.5487524,Mall,Vaishnavi Sapphire Centre
12.9656763,77.5616212,Mall,ETA Namma Mall
12.9943024,77.5843483,Mall,RainTree
13.0284013,77.5723448,Mall,Max
12.9734475,77.6217468,Mall,Lido Mall
13.1376313,77.4794228,Bus station,Hesaghatta Bus Terminal
12.9158099,77.6103436,Mall,ND Fusion Mall
12.9309944,77.5758965,Market,Yediyur Market
12.797119,77.3846401,Bus station,Bidadi Bus Station
12.976757,77.5739308,Bus station,KSRTC Bus Terminal 1
12.8006961,77.5776755,Bus station,Bannerghatta BMTC Bus Stand
13.0012762,77.6326046,Mall,Orion East Mall
13.0181038,77.5565251,Bus station,Yeshwanthapura TTMC
13.0427883,77.5920157,Bus station,Hebbal Bus Station
13.0425128,77.5900176,Bus station,Hebbal Bus Station
13.1991426,77.7080758,Bus station,Kempegowda International Airport Bus Station
13.0835244,77.5608039,Bus station,Vidyaranyapura Bus Terminus
12.9576398,77.6141529,Bus station,Neelasandra
12.9791738,77.6411115,Market,
13.2456468,77.7128492,Bus station,New bus stand
13.1057293,77.5725276,Bus station,Yelahanka Satellite Town
12.9726274,77.6777335,Bus station,Vignananagar Bus Station
12.9341348,77.5396549,Bus station,Shri Vidhyanagara BMTC Bus station
12.9856425,77.6640815,Bus station,C V Raman Nagar Bus Stand
12.9702719,77.5794685,Market,Ballapurpet Market
13.1009552,77.5947807,Bus station,Yelahanka Old Town
12.9915771,77.5705772,Mall,Mantri Square
12.9137066,77.4870405,Bus station,Kengeri TTMC
12.9591632,77.5268919,Bus station,Chandra Layout Bus Station
13.0977,77.5914873,Bus station,NES Office
12.9262202,77.6753775,Mall,Reliance Centro
12.8657411,77.5814308,Bus station,Jambu Savari Dinne Bus Bay
12.9380703,77.569026,Bus station,N. R. Colony Bus Station
12.9649534,77.5745313,Market,Fish and Meat Market
12.9641706,77.6062644,Market,Johnson Market
12.7261383,77.8288273,Market,Uzhavar Sandhai
12.9123841,77.6005095,Mall,
12.8856584,77.5526591,Mall,Mantri Mall Kanakpura Road
13.0708864,77.5904608,Mall,Phoenix Mall of Asia
12.9895302,77.7280737,Mall,Nexus Shantinekatan
12.8758758,77.5957621,Mall,Royal Meenakshi Mall
13.0265644,77.6383427,Bus station,Kalyan Nagar BMTC Depot
13.2950636,77.8020731,Bus station,Vijayapura bus station
13.059074,77.5076931,Bus station,Mallasandra Bus Station
12.9403168,77.5250986,Mall,
12.8607012,77.7905726,Market,APMC Market
12.9282487,77.5843406,Bus station,Jayanagar TTMC
13.0975628,77.5838593,Mall,Centro Mall
12.8881564,77.5629073,Mall,Prestige Forum Falcon City Mall
12.9164243,77.6330895,Metro,HSR Layout (u/c)
12.9205463,77.6436303,Metro,Agara Lake (u/c)
12.9162491,77.4825373,Bus station,Kengeri Uppanagara Bus Stand
13.2365604,77.723697,Mall,The Arcade
13.0553259,77.7637627,Mall,Orion Uptown Mall
13.1100128,77.4378701,Market,APMC VEGETABLE MARKET DASANAPURA
13.0781056,77.4461314,Bus station,Depot-40 Dasanapura BMTC Bus Garage
13.3001301,77.5388137,Bus station,
13.2932963,77.5422844,Bus station,Doddaballapura
12.9752362,77.602208,Mall,1 Sobha
12.9613784,77.6139631,Market,BMP Market
12.9731949,77.6069935,Mall,5th Avenue Mall
12.9181312,77.6230925,Bus station,
12.8419713,77.6768224,Mall,M5 ECity Mall
12.8980441,77.6348703,Market,
12.9666076,77.5925094,Market,Sampangi Rama Nagar Vegetables Market
12.8452714,77.6897254,Market,
13.0702556,77.7846277,Bus station,
12.8472785,77.6726803,Bus station,
12.9727109,77.6065571,Mall,Forum Rex Walk
12.9694764,77.7496225,Mall,JK Mall
12.9708539,77.6073681,Mall,Eva Mall
12.8616194,77.7053037,Bus station,Huskuru Bus Stop
12.9771653,77.7265033,Bus station,Vydehi TTMC
12.8951331,77.6571353,Mall,PNR Felicity
12.9371459,77.5691968,Market,
12.9167622,77.5738191,Market,Banashankari Market
12.9767181,77.5719199,Bus station,"Bus Terminal 2, 2A"
12.9657768,77.5754276,Market,
13.0956546,77.5790346,Bus station,Yelahanka New Town
13.0962939,77.5786665,Market,Fruit and Vegetable Marketplace
12.9532043,77.5437227,Bus station,KSRTC Mysore Road Satellite Bus Station
12.9289418,77.5913637,Mall,Garuda Swagath Mall
13.0834421,77.6436248,Mall,Bhartiya Mall
12.9029352,77.5617157,Bus station,Kumaraswamy Layout
13.0115825,77.535844,Bus station,Nandini Layout
12.933307,77.7452318,Mall,Arcadia
13.2423226,77.7203498,Mall,Sattva Park Cubix
13.0243052,77.5468919,Market,Hotel Leroy Grand
12.9717698,77.537714,Market,Sri Krishnadevaraya Palike Bazaar
12.8916568,77.5977538,Mall,Centro Mall
13.0300681,77.6621769,Mall,Reliance Smartpoint
12.9066937,77.5217239,Bus station,
12.8500623,77.6632321,Bus station,Infosys Bus Station
12.9094652,77.5130242,Mall,YGR Signature Mall
12.9984364,77.6203075,Market,Cox Town Market
13.0126463,77.5545139,Market,Footpath Stalls
13.0283319,77.5408483,Metro,Goraguntepalya
12.9904988,77.6045526,Market,Shivajinagar Shopping Complex
12.8746351,77.761431,Mall,Confident Square Mall
13.0103596,77.644748,Market,
12.9346632,77.7434119,Market,
12.9667865,77.5160551,Bus station,Bande Maramma
12.9634263,77.5120864,Bus station,
12.9408028,77.6900131,Bus station,Terminal 2
12.967999,77.4807295,Bus station,
13.0973219,77.5998862,Market,Yelahanka Sante
12.9909133,77.7176971,Market,
13.0831151,77.6430181,Market,
12.9194527,77.5924946,Market,Jayanagar 9th Block market
12.979772,77.6069575,Mall,Safina Plaza
12.996344,77.6953449,Mall,VR Bengaluru
13.1061243,77.4450651,Market,APMC Market Dasanapura
12.9969747,77.6964687,Mall,Phoenix Market City
