n_zones,zone_frac,impact_cov,violation_cov
241,0.09510655090765588,0.8553210179390799,0.7756739097656185
242,0.09550118389897395,0.8559073487993465,0.7764077133140109
243,0.09589581689029203,0.8564929322692019,0.7770979577476587
244,0.0962904498816101,0.8570776697888397,0.7777077853540854
245,0.09668508287292818,0.8576556413472795,0.7783678734775251
246,0.09707971586424625,0.8582323699319458,0.7790246108998308
247,0.09747434885556433,0.8588065449536524,0.779721556735747
248,0.0978689818468824,0.8593785159460686,0.7805022701000184
249,0.09826361483820048,0.8599479936609098,0.7811623582234583
250,0.09865824782951854,0.8605165239655377,0.7823015966090905
251,0.09905288082083662,0.8610838318058314,0.7830823099733619
252,0.09944751381215469,0.8616484680419757,0.7838060614183517
253,0.09984214680347277,0.8622076055357161,0.7844460453349863
254,0.10023677979479084,0.8627615648956399,0.7851429911709025
255,0.10063141278610892,0.863313055024197,0.7859773157533214
256,0.10102604577742699,0.8638640683882518,0.7868049389334718
257,0.10142067876874507,0.8644145195655216,0.7876191593090854
258,0.10181531176006314,0.8649625643739296,0.7883630149608806
259,0.10220994475138122,0.8655091282893043,0.7890365058888572
260,0.1026045777426993,0.8660381100494273,0.7897233996213707
261,0.10299921073401737,0.8665623475304485,0.790705155053695
262,0.10339384372533544,0.8670856687529778,0.7912881770510479
263,0.10378847671665352,0.8676078995536609,0.7921023974266616
264,0.10418310970797158,0.868129463321351,0.7928462530784567
265,0.10457774269928966,0.8686455892049345,0.7936839283620097
266,0.10497237569060773,0.8691581049450035,0.7943406657843154
267,0.1053670086819258,0.8696702211786747,0.7949437919884735
268,0.10576164167324388,0.8701773619490806,0.7956909983414029
269,0.10615627466456196,0.8706844293808808,0.7963912948784533
270,0.10655090765588003,0.8711876078012875,0.7969944210826115
271,0.1069455406471981,0.8716873003776445,0.7975874951833671
272,0.10734017363851618,0.8721831255332484,0.7983447536396991
273,0.10773480662983426,0.8726786417308892,0.7989478798438573
274,0.10812943962115233,0.8731734608201726,0.7996615791854446
275,0.1085240726124704,0.8736605830247434,0.800268056090737
276,0.10891870560378848,0.8741438361910631,0.8009650019266531
277,0.10931333859510656,0.8746269865766257,0.8016049858432877
278,0.10970797158642462,0.8751095799027924,0.8022349176565197
279,0.1101026045777427,0.8755901122877121,0.8026939637119067
280,0.11049723756906077,0.8760704822743254,0.8032334265945149
281,0.11089187056037884,0.8765496495286166,0.8041213623950811
282,0.11128650355169692,0.8770249961817247,0.8047780998173868
283,0.111681136543015,0.8774941626648138,0.8054783963544372
284,0.11207576953433307,0.8779625724393404,0.8060614183517901
285,0.11247040252565114,0.8784273983993593,0.8067516627854379
286,0.11286503551696922,0.8788902345874027,0.8073715424952671
287,0.1132596685082873,0.8793517408641585,0.8079579151937543
288,0.11365430149960537,0.8798124811840073,0.8084772738695573
289,0.11404893449092345,0.880270078670112,0.808979879039689
290,0.11444356748224152,0.8807142646208961,0.8096366164619947
291,0.1148382004735596,0.8811572425179293,0.8102866524820319
292,0.11523283346487766,0.8815950155322724,0.8108964800884585
293,0.11562746645619573,0.8820320791081872,0.8113655782472482
294,0.11602209944751381,0.882468266340243,0.8119351974400644
295,0.11641673243883188,0.8828973562209208,0.8124545561158673
296,0.11681136543014996,0.8833236553132033,0.8130777865268307
297,0.11720599842146803,0.8837492037311977,0.8136976662366601
298,0.11760063141278611,0.8841739491062508,0.8141466601886445
299,0.11799526440410418,0.8845985212292967,0.8147531370939369
300,0.11838989739542226,0.8850221600921644,0.8153093534822161
301,0.11878453038674033,0.8854446366430797,0.8157918544455427
302,0.11917916337805841,0.8858644001493943,0.8163648243394931
303,0.11957379636937648,0.886283964019991,0.8168875337164302
304,0.11996842936069456,0.8866995100043653,0.8175040627251252
305,0.12036306235201263,0.8871150350205953,0.8179664594816465
306,0.12075769534333071,0.8875296486735866,0.8185528321801336
307,0.12115232833464877,0.8879437153293301,0.8190286317411919
308,0.12154696132596685,0.888353703102142,0.8196083030374106
309,0.12194159431728492,0.8887617557592336,0.8201477659200188
310,0.122336227308603,0.8891679413417519,0.8209552848933639
311,0.12273086029992107,0.8895738646823027,0.8214645914657642
312,0.12312549329123915,0.8899758985357951,0.8220107557506409
313,0.12352012628255722,0.8903772135583464,0.8227847677126439
314,0.1239147592738753,0.890778450806022,0.8233476855031916
315,0.12430939226519337,0.891177625305275,0.8238536413744576
316,0.12470402525651145,0.8915763353454337,0.8245673407160449
317,0.1250986582478295,0.8919742514026054,0.8251671162190688
318,0.1254932912391476,0.8923685094066954,0.8256797734926034
319,0.12588792423046566,0.8927616024911335,0.8261522223525273
320,0.12628255722178375,0.893154484004816,0.8266548275226591
321,0.1266771902131018,0.8935442371606698,0.8273015128415621
322,0.1270718232044199,0.8939315035254238,0.8280520698956256
323,0.12746645619573796,0.8943186982508998,0.8285345708589522
324,0.12786108918705605,0.8947057637760002,0.8291678533733183
325,0.1282557221783741,0.8950919604418688,0.8298580978069661
326,0.1286503551696922,0.8954773159799648,0.8303875085861716
327,0.12904498816101026,0.8958621028259726,0.8308767109517666
328,0.12943962115232832,0.8962463669160979,0.8313491598116906
329,0.1298342541436464,0.8966282404598999,0.8319824423260568
330,0.13022888713496447,0.8970047639097833,0.8324582418871149
331,0.13062352012628256,0.897379758292416,0.8330211596776625
