h3,lat,lon,area,cost_year,CIS,n_parking
89618925947ffff,12.940046617864743,77.5825308315191,Jayanagar East,18164.188741721857,47.46,318
8960145b173ffff,12.991451226763349,77.55090396319997,Shivanahalli Junction,13626.102649006623,47.45,220
8960145b1d7ffff,12.982872100085503,77.56038590305049,Sri Jagadguru Renukacharya Circle,11878.211920529804,47.25,214
8960145b17bffff,12.994654954651589,77.55155894796208,Rajaji Nagar,16379.072847682124,47.2,283
89601696687ffff,13.097109849261004,77.59781029344622,Raitarasanthe,15021.20033112583,47.19,258
8961892440bffff,12.876715931417216,77.64826445230146,Singasandra Industrial Estate,16903.60927152318,47.12,285
8961892ec27ffff,12.977265471175555,77.63793071171104,Indiranagar,12969.586092715235,47.04,217
89618925363ffff,12.96335644317602,77.64070521174853,Domlur,13017.93046357616,46.88,213
8960145a357ffff,12.960527866486713,77.53054154122069,KPA Block,16996.672185430463,46.67,288
8961892e00bffff,12.996316676797564,77.69246410475205,Police Quarters Singayyanapalya,13756.511589403975,46.58,219
89601459537ffff,13.020359361600784,77.5315353670817,Nandini Layout,12292.764900662252,46.57,206
8960145829bffff,13.009689700767762,77.52654664607132,Malleshwar Layout,11573.64238410596,46.55,182
8960145b557ffff,12.975350343562363,77.57289433214187,Subash Nagar,11780.918874172186,46.41,197
8961892097bffff,12.941750640702113,77.69815523459606,SLS Serenity Apartment,13445.899006622516,46.39,196
8960145b50bffff,12.974291599051092,77.56986832740168,Cottonpet Circle,12635.405629139073,46.34,208
8961892ea47ffff,13.022165250482654,77.63869264171262,Jahnavi Layout,13502.582781456955,46.29,233
8961892ecb3ffff,12.96867804802574,77.64741906727654,Indian Airlines Staff Quarters,12509.105960264902,46.24,197
89618925a27ffff,12.96244767729337,77.59554354363316,Bheemanna Garden,17656.57284768212,46.22,340
8961892c9b7ffff,13.02770165044747,77.57798385735394,MET Layout,13511.04304635762,46.2,233
8960145b34fffff,13.018140695269809,77.55917026844502,Samvidhana Circle,12291.07284768212,46.14,216
8960145a32bffff,12.959496121425227,77.51909953910872,Nagarabavi Circle,12483.120860927154,46.03,191
89618924223ffff,12.911017324870064,77.62717586398105,Krimson Square,11755.538079470201,45.92,208
896014593b3ffff,13.05135625940364,77.52663680095021,Prasad Enclave,13646.407284768215,45.87,249
8961892e48fffff,12.972721359002872,77.71013544825783,Prestige Technostar,15566.887417218544,45.86,247
8960145b403ffff,12.9784984385692,77.59039730205839,Shanthaveri Gopalagowda Circle,14469.591059602648,45.84,243
8960145b107ffff,12.985043788967136,77.54959404904909,Sri Mahaganapathi Nagar,12893.443708609273,45.79,222
8961892c997ffff,13.027675976835534,77.58640903709531,Laxmaiah Block,11112.557947019868,45.76,201
89618925b23ffff,12.956097152047933,77.57738503936817,Basappa Circle,11751.307947019868,45.38,205
8961892528fffff,12.95791023212782,77.66771114053958,HAL Circle,17115.115894039733,45.28,293
896189276c3ffff,12.895666163093255,77.7196544962444,Kodathi Gate,10274.991721854307,45.25,174
8960145a273ffff,12.969025300354282,77.54631958665436,Telecom Layout,12724.23841059603,45.23,243
89601459557ffff,13.027801600831634,77.54429111166478,RNS Shanthi Nivas,11829.98841059603,45.22,222
8961892ebb7ffff,12.997669153099467,77.61118414482152,Pulikeshi Nagar,14179.403973509934,45.09,250
89618925b3bffff,12.957155574499396,77.58041114722704,NKP Layout,12011.884105960264,45.01,196
8960145b433ffff,12.976381048128616,77.58434404243778,Maharani College Junction,10592.251655629141,45.0,180
8960145a687ffff,12.940105753034862,77.56568679444288,Dhondusa Layout,11878.211920529804,44.89,223
8961892cb43ffff,13.068271342496192,77.59190673344236,L&T Tech Park,11884.980132450331,44.89,209
8960145a21bffff,12.964735354290436,77.55105996979596,Sri Kodanda Rama Swamy Circle,9835.05794701987,44.8,180
8961892735bffff,12.91187364430502,77.6807770418111,Jain Heights,9407.814569536426,44.72,177
89618925a33ffff,12.961359970272925,77.60094155852454,Nanjappa Circle,11522.880794701987,44.63,226
8961892734bffff,12.914022272926193,77.67840469119875,Kaikondrahalli,10332.52152317881,44.62,180
8960145b41bffff,12.979557132736556,77.59342411757864,Police Thimmaiah Circle,11239.461920529802,44.6,213
89618925373ffff,12.961209426228725,77.64307720300786,Carlton Towers,10334.213576158942,44.42,181
8960145a68fffff,12.943309775662664,77.56634193284613,Dhondusa Layout,11432.355960264902,44.33,208
8961892588bffff,12.936751196653573,77.60714699213088,Chikka Lakshmaiah Layout,12377.367549668877,44.33,191
89601459053ffff,13.051286783073248,77.5519020737856,Dr K Shivaramakarantha Circle,11133.708609271524,44.31,188
8960145b07bffff,13.00206906324427,77.57274017570036,Acharya Sri Ramanuja Circle,9010.1821192053,44.26,161
896014598cbffff,13.049302632562158,77.49533070855107,Nagasandra,9689.541390728476,44.26,137
8960145b6afffff,12.995606739260625,77.58827760248366,Kumar Park,14670.099337748345,44.23,265
