h3,lat,lon,day,hour,window,risk,risk_low,risk_high,cell_rate
8960145b59bffff,12.96465116440439,77.57632508363632,Sun,9,09:00-10:00,6.981096000162487,4.0005490449257035,10.215563046801405,373.2608695652174
8961892e917ffff,12.982704611494386,77.61093157697483,Mon,9,09:00-10:00,6.928215163182548,2.1116154923884536,7.747955347951439,211.91304347826087
8960145b59bffff,12.96465116440439,77.57632508363632,Mon,1,01:00-02:00,6.911169463137591,3.767932090201544,10.753769116219035,373.2608695652174
89618920923ffff,12.933223647523132,77.69077993064658,Tue,3,03:00-04:00,6.910828743570148,2.0444803520516843,9.549949204305904,293.4347826086956
8960145b553ffff,12.976409087424585,77.5759204607417,Wed,9,09:00-10:00,6.889224458944332,3.660048305710972,8.934266840660849,527.0869565217391
8960145b59bffff,12.96465116440439,77.57632508363632,Fri,0,00:00-01:00,6.857656792327251,3.6046879708313666,9.979020315245657,373.2608695652174
8960145b59bffff,12.96465116440439,77.57632508363632,Mon,0,00:00-01:00,6.83380856944406,3.741182225356458,10.531066104216086,373.2608695652174
8960145b427ffff,12.97746783062643,77.57894671319185,Sun,9,09:00-10:00,6.826779828628744,4.397792683243805,10.791104816594167,320.39130434782606
8960145b553ffff,12.976409087424585,77.5759204607417,Wed,8,08:00-09:00,6.775422938875386,3.733645133035866,8.9086728099418,527.0869565217391
89618920923ffff,12.933223647523132,77.69077993064658,Fri,6,06:00-07:00,6.773560699887479,1.9681336033096297,9.037188170730708,293.4347826086956
8960145b59bffff,12.96465116440439,77.57632508363632,Mon,9,09:00-10:00,6.761536219402794,3.7309743129030757,10.497462236259164,373.2608695652174
8960145b427ffff,12.97746783062643,77.57894671319185,Mon,1,01:00-02:00,6.753438697246711,3.7894269877594597,9.312150533283596,320.39130434782606
8961892e917ffff,12.982704611494386,77.61093157697483,Mon,11,11:00-12:00,6.724073027079111,2.090384651094878,7.789209163080704,211.91304347826087
8961892e917ffff,12.982704611494386,77.61093157697483,Mon,8,08:00-09:00,6.71844157654744,2.1686064925769384,7.678462418545843,211.91304347826087
89618920923ffff,12.933223647523132,77.69077993064658,Tue,6,06:00-07:00,6.715722246062167,2.279932672728212,9.220643773411899,293.4347826086956
8960145b5cbffff,12.974263654955623,77.57829127810561,Sun,11,11:00-12:00,6.601335767115036,2.353616726394191,7.940369599853124,260.5217391304348
8960145b553ffff,12.976409087424585,77.5759204607417,Mon,6,06:00-07:00,6.597380800313826,3.9112626277850744,10.258359613708285,527.0869565217391
8961892e9bbffff,12.979499946671595,77.61027556237418,Mon,9,09:00-10:00,6.529177972776862,2.177609917043607,7.7679604707689,185.08695652173913
8960145b553ffff,12.976409087424585,77.5759204607417,Fri,11,11:00-12:00,6.514676669767294,3.559606095600528,10.963148383209464,527.0869565217391
8961892e9abffff,12.981645967305287,77.60790407487231,Sat,8,08:00-09:00,6.413968261564229,3.583541118222546,9.162798156817495,289.8695652173913
89618920923ffff,12.933223647523132,77.69077993064658,Wed,4,04:00-05:00,6.370095007362086,3.57827612073019,12.03357818256419,293.4347826086956
8960145b427ffff,12.97746783062643,77.57894671319185,Tue,9,09:00-10:00,6.348854411102799,3.792782308675287,9.3682631468292,320.39130434782606
8961892e9bbffff,12.979499946671595,77.61027556237418,Sun,8,08:00-09:00,6.279869138951325,1.6849347888618231,6.402156165209795,185.08695652173913
8960145b553ffff,12.976409087424585,77.5759204607417,Thu,11,11:00-12:00,6.269859275869156,3.529187554674108,10.64347839642364,527.0869565217391
8961892e917ffff,12.982704611494386,77.61093157697483,Sun,9,09:00-10:00,6.243666966284518,2.5459795470284003,8.137099375638442,211.91304347826087
89618920923ffff,12.933223647523132,77.69077993064658,Wed,6,06:00-07:00,6.237259461136266,2.0853659921281076,9.374543433462444,293.4347826086956
8960145b5cbffff,12.974263654955623,77.57829127810561,Mon,9,09:00-10:00,6.237157253356731,3.652285647909827,8.637680155010736,260.5217391304348
8960145b553ffff,12.976409087424585,77.5759204607417,Wed,10,10:00-11:00,6.231964896858113,3.8043776788869037,8.934266840660849,527.0869565217391
8961892e9abffff,12.981645967305287,77.60790407487231,Fri,11,11:00-12:00,6.2206763490134005,3.3945821556469538,8.376148896694337,289.8695652173913
8960145b553ffff,12.976409087424585,77.5759204607417,Tue,6,06:00-07:00,6.167642272821738,3.9363526369144815,9.9365626230587,527.0869565217391
8961892e9abffff,12.981645967305287,77.60790407487231,Fri,10,10:00-11:00,6.140648232168603,3.4870383944920853,8.539597817152321,289.8695652173913
8960145b5cbffff,12.974263654955623,77.57829127810561,Tue,8,08:00-09:00,6.057087594348552,3.6922563962472053,8.19686031295424,260.5217391304348
